everforest-light-med	true	#7fbbb3	#9ab373	#5c6a72	#efebd4	#7fbbb3	#a6b0a0	#a6b0a0	#e67e80	#c1a266	#d699b6	#efebd4	#e0dcc7	#e7e3cd
fahrenheit	false	#7f0e0f	#9e744d	#ffffce	#000000	#7f0e0f	#404040	#404040	#cda074	#fecf75	#734c4d	#000000	#0f0f0f	#070707
fairyfloss	false	#c2ffdf	#c2ffdf	#f8f8f2	#5a5475	#c2ffdf	#6090cb	#6090cb	#f92672	#e6c000	#ffb8d1	#5a5475	#635e7d	#5e5979
farmhouse-dark	false	#0049e6	#549d00	#e8e4e1	#1d2027	#0049e6	#464d54	#464d54	#ba0004	#c87300	#9f1b61	#1d2027	#2a2d33	#23262d
farmhouse-light	true	#092ccd	#3a7d00	#1d2027	#e8e4e1	#092ccd	#394047	#394047	#8d0003	#a95600	#820046	#e8e4e1	#dad6d3	#e1ddda
fideloper	false	#2e78c2	#edb8ac	#dbdae0	#292f33	#2e78c2	#496068	#496068	#cb1e2d	#b7ab9b	#c0236f	#292f33	#353b3f	#2f3539
firefly-traditional	false	#5a63ff	#33bc26	#f5f5f5	#000000	#5a63ff	#828282	#828282	#c23720	#afad24	#d53ad2	#000000	#0f0f0f	#070707
firefox-dev	false	#359ddf	#5eb83c	#7c8fa4	#0e1011	#359ddf	#26444d	#26444d	#e63853	#a57706	#d75cff	#0e1011	#1c1e1f	#151718
firewatch	false	#4d89c4	#5ab977	#9ba2b2	#1e2027	#4d89c4	#585f6d	#585f6d	#d95360	#dfb563	#d55119	#1e2027	#2b2d33	#24262d
fish-tank	false	#525fb8	#acf157	#ecf0fe	#232537	#525fb8	#6c5b30	#6c5b30	#c6004a	#fecd5e	#986f82	#232537	#303243	#292b3d
flat	false	#3167ac	#32a548	#2cc55d	#002240	#3167ac	#475262	#475262	#a82320	#e58d11	#781aa0	#002240	#0f2f4b	#072845
